Mandarin,English,Spanish
的,of,de
一,one,uno
是,yes,Sí
不,No,No
人,people,gente
在,exist,existir
有,have,tener
我,I,I
了,Got it,Entiendo
中,middle,medio
國,country,país
這,this,este
為,for,para
以,by,por
來,Come,Venir
大,big,grande
之,Of,De
生,born,nacido
個,indivdual,individual
上,superior,superior
而,and,y
會,meeting,reunión
們,them,a ellos
也,also,también
時,hour,hora
到,arrive,llegar
可,Can,Poder
年,Year,Año
自,since,desde
地,land,tierra
要,want,desear
對,right,bien
與,and,y
能,able,capaz
那,That,Eso
就,At once,Inmediatamente
於,At,En
出,out,afuera
子,son,hijo
說,explain,explicar
家,Home,Hogar
然,Ran,Corrió
成,become,convertirse
著,With,Con
如,like,como
過,Pass,Aprobar
得,have to,tengo que
心,Heart,Corazón
下,Down,Abajo
多,many,muchos
作,do,hacer
和,and,y
所,Place,Lugar
後,back,atrás
十,ten,diez
天,sky,cielo
無,none,ninguno
都,All,Todo
情,Affection,Afecto
民,civil,civil
學,study,estudiar
小,Small,Pequeño
現,now,ahora
政,politics,política
因,because,porque
此,this,este
當,when,cuando
事,thing,cosa
前,forward,adelante
去,go,ir
種,kind,amable
其,That,Eso
行,OK,DE ACUERDO
意,meaning,significado
方,square,cuadrado
文,arts,letras
日,day,día
好,good,bien
實,Reality,Realidad
但,but,pero
想,think,pensar
發,hair,cabello
經,through,a través de
性,sex,sexo
者,who,OMS
分,point,punto
看,look,mirar
三,three,tres
麼,What?,¿Qué?
法,Law,Ley
美,beautiful,hermoso
起,rise,elevar
只,Only,Solo
用,use,usar
最,most,mayoría
她,she,ella
外,outside,afuera
本,Book,Libro
長,long,largo
同,same,mismo
你,you,tú
開,open,abierto
理,reason,razón
主,host,anfitrión
已,already,ya
沒,without,sin
面,noodle,cabeza
代,generation,generación
動,move,mover
間,between,entre
及,and,y
力,force,fuerza
些,some,alguno
二,two,dos
重,Heavy,Pesado
由,Depend on,Depender de
定,Certainly,Ciertamente
道,road,camino
還,return,devolver
新,new,nuevo
裏,inside,adentro
樣,Sample,Muestra
高,high,alto
化,change,cambiar
女,female,femenino
又,again,de nuevo
共,common,común
己,self,ser
進,Enter,Ingresar
從,from,de
或,or,o
愛,like,como
使,make,hacer
公,male,masculino
感,feel,sentir
正,just,justo
關,close,cerca
世,World,Mundo
相,Mutually,Mutuamente
知,Know,Saber
更,Even,Incluso
等,wait,esperar
明,bright,brillante
全,Complete,Completo
常,often,a menudo
問,ask,preguntar
立,stand,pararse
社,society,sociedad
應,answer,respuesta
兩,two,dos
老,old,viejo
體,body,cuerpo
很,very,muy
教,teach,enseñar
活,live,vivir
何,what,qué
卻,but,pero
書,Book,Libro
物,thing,cosa
工,work,trabajar
並,and,y
再,Again,De nuevo
四,Four,cuatro
表,surface,superficie
身,body,cuerpo
將,Will,Voluntad
果,fruit,fruta
點,point,punto
才,talent,talento
真,real,real
內,Inside,Adentro
黨,party,fiesta
把,Bundle,Manojo
度,Spend,Gastar
頭,head,cabeza
回,return,devolver
向,Towards,Hacia
至,to,a
走,Walk,Caminar
受,by,por
風,wind,viento
像,picture,imagen
什,Varied,Variado
臺,tower,torre
合,combine,combinar
見,See,Ver
水,water,agua
業,Industry,Industria
次,Second-rate,De segunda categoría
界,boundary,límite
許,May,Puede
少,few,pocos
統,system,sistema
總,total,total
題,question,pregunta
位,Bit,Poco
五,five,cinco
月,moon,luna
台,tower,torre
手,hand,mano
幾,Several,Varios
被,quilt,colcha
名,name,nombre
平,flat,departamento
處,at,en
山,Mountain,Montaña
必,must,debe
觀,view,vista
選,select,seleccionar
光,Light,Luz
命,life,vida
九,Nine,Nueve
言,Word,Palabra
安,install,instalar
加,add,agregar
目,Head,Cabeza
提,carry,llevar
結,Knot,Nudo
它,it,él
員,member,miembro
部,department,departamento
花,flower,flor
每,Every,Cada
太,too,también
路,road,camino
治,rule,regla
則,but,pero
任,appoint,nombrar
機,machine,máquina
先,First,Primero
灣,bay,bahía
望,see,ver
便,convenient,conveniente
親,relative,relativo
入,enter,ingresar
義,righteous,justo
變,Change,Cambiar
話,talk,hablar
流,flow,fluir
解,untie,desatar
白,white,blanco
各,each,cada
聲,Voice,Voz
論,Argument,Argumento
認,recognize,reconocer
場,field,campo
難,Disaster,Desastre
今,now,ahora
交,pay,pagar
視,See,Ver
建,establish,establecer
未,not yet,aún no
百,Hundred,Centenar
利,profit,ganancia
做,Do,Hacer
原,Original,Original
期,Expect,Esperar
第,No.,No.
車,car,auto
色,color,color
詩,poetry,poesía
氣,gas,gas
放,put,poner
形,shape,forma
權,right,bien
深,deep,profundo
遠,Far,Lejos
市,city,ciudad
電,electricity,electricidad
傳,pass,aprobar
孩,child,niño
育,educate,educar
影,film,película
北,north,norte
八,eight,ocho
往,Past,Pasado
覺,Sleep,Dormir
反,opposite,opuesto
口,mouth,boca
神,god,dios
曾,ever,alguna vez
念,read,leer
金,gold,oro
別,Don't,No
比,Compare,Comparar
特,special,especial
空,,nulo
失,lose,perder
師,division,división
華,magnificent,magnífico
通,Pass,Aprobar
夜,night,noche
清,clear,claro
兒,Son,Hijo
求,beg,mendigar
近,close,cerca
制,system,sistema
寫,Write,Escribir
接,catch,atrapar
給,Give,Dar
七,seven,Siete
即,Right now,Ahora mismo
眼,Eye,Ojo
直,straight,derecho
信,letter,carta
且,and,y
滿,Full,Lleno
品,Taste,Gusto
非,No,No
報,newspaper,periódico
萬,Ten thousand,Diez mil
識,knowledge,conocimiento
門,Door,Puerta
產,Produce,Producir
記,remember,recordar
象,elephant,elefante
數,number,número
量,quantity,cantidad
落,fall,caer
展,exhibition,exhibición
思,think,pensar
改,change,cambiar
該,Should,Debería
讓,let,dejar
打,beat,derrotar
院,hospital,hospital
海,ocean,océano
六,six,seis
西,West,Oeste
運,transport,transporte
千,thousand,mil
談,talk,hablar
候,wait,esperar
樂,happy,feliz
完,over,encima
式,Mode,Modo
母,mother,madre
醫,medical,médico
取,Pick,Elegir
呢,Woolen cloth,Paño de lana
整,all,todo
際,international,internacional
字,Character,Personaje
程,Procedure,Procedimiento
考,Test,Prueba
張,open,abierto
務,service,servicio
持,hold,sostener
步,step,paso
父,father,padre
切,cut,cortar
造,make,hacer
南,South,Sur
病,sick,enfermo
資,capital,capital
議,discuss,conversar
獨,alone,solo
強,powerful,poderoso
質,quality,calidad
決,decide,decidir
容,Allow,Permitir
聽,listen,escuchar
死,die,morir
雖,although,a pesar de
喜,happiness,felicidad
帶,bring,traer
指,refer to,referirse a
東,East,Este
靜,quiet,tranquilo
音,sound,sonido
戰,war,guerra
計,count,contar
單,one,uno
濟,economy,economía
語,language,idioma
基,base,base
甚,very,muy
讀,read,leer
輕,light,luz
存,live,vivir
若,like,como
男,male,masculino
絕,Absolutely,Absolutamente
故,Therefore,Por lo tanto
示,Show,Espectáculo
區,district,distrito
歲,age,edad
管,Tube,Tubo
設,set up,configuración
極,pole,polo
保,Save,Ahorrar
眾,public,público
似,like,como
調,tune,melodía
始,beginning,comienzo
離,Leave,Dejar
告,tell,decir
邊,side,lado
類,kind,amable
條,strip,banda
具,Tool,Herramienta
友,friend,amigo
係,Tie,Atar
林,Forest,Bosque
仍,still,aún
令,make,hacer
境,territory,territorio
府,Mansion,Palacio
除,remove,eliminar
爭,fight,luchar
裡,inside,adentro
需,need,necesidad
快,quick,rápido
精,Refined,Refinado
根,root,raíz
片,piece,pedazo
件,pieces,piezas
苦,bitter,amargo
值,value,valor
紅,red,rojo
吃,eat,comer
住,live,vivir
態,state,estado
須,Must,Debe
早,morning,mañana
舉,Lift,Elevar
轉,change,cambiar
燈,lamp,lámpara
英,Britain,Gran Bretaña
笑,laugh,reír
連,even,incluso
另,Other,Otro
引,lead,dirigir
易,easy,fácil
血,Blood,Sangre
否,no,No
導,guide,guía
星,star,estrella
婚,marriage,casamiento
樹,Tree,Árbol
畫,painting,cuadro
首,head,cabeza
熱,hot,caliente
斷,break,romper
廣,wide,ancho
段,part,parte
般,general,general
委,committee,comité
局,bureau,oficina
史,history,historia
究,study,estudiar
乎,almost,casi
夢,Dream,Sueño
夫,husband,marido
歷,calendar,calendario
馬,horse,caballo
價,price,precio
土,earth,tierra
聯,link,enlace
術,technique,técnica
軍,military,militar
較,compare,comparar
願,willing,deseoso
格,grid,red
顯,show,espectáculo
錢,money,dinero
希,hope,esperanza
確,correct,correcto
亦,as well as,así como
推,push,empujar
半,Half,Medio
研,research,investigación
續,Continued,Continuado
香,fragrant,fragante
越,cross,cruz
達,reach,alcanzar
雙,pair,par
響,ring,anillo
足,foot,pie
依,according to,de acuerdo a
朋,friend,amigo
懷,pregnant,embarazada
角,horn,bocina
歡,joyous,jubiloso
紀,discipline,disciplina
圖,picture,imagen
致,To,A
隨,Follow,Seguir
消,remove,eliminar
鄉,Township,Municipio
終,end,fin
竟,actually,de hecho
據,according to,de acuerdo a
永,forever,para siempre
節,Festival,Festival
校,school,escuela
標,mark,marca
亞,Asia,Asia
刻,carve,esculpir
構,structure,estructura
火,fire,fuego
勢,potential,potencial
包,Bag,Bolsa
待,treat,tratar
怎,How,Cómo
服,Clothes,Ropa
痛,pain,dolor
系,Tie,Atar
素,white,blanco
商,business,negocio
層,layer,capa
環,ring,anillo
韓,Korea,Corea
衛,guard,guardia
歌,Song,Canción
青,green,verde
士,scholar,erudito
低,Low,Bajo
傷,hurt,herir
免,waived,renunciado
稱,say,decir
充,charge,cargar
集,set,colocar
項,item,artículo
領,collar,cuello
嗎,?,?
德,virtue,virtud
例,example,ejemplo
約,about,acerca de
聞,smell,oler
群,group,grupo
辦,manage,administrar
食,Food,Alimento
嚴,strict,estricto
驗,test,prueba
收,receive,recibir
族,clan,clan
漸,gradually,gradualmente
參,ginseng,ginseng
策,policy,política
陸,land,tierra
木,Wood,Madera
細,thin,delgado
規,regulation,regulación
底,end,fin
雨,rain,lluvia
園,garden,jardín
試,try,intentar
房,house,casa
草,Grass,Césped
古,antiquity,antigüedad
增,increase,aumentar
黃,yellow,amarillo
密,dense,denso
找,try to find,intenta encontrar
景,scene,escena
創,create,crear
藥,medicine,medicamento
證,certificate,certificado
黑,black,negro
僅,only,solo
興,prosper,prosperar
功,achievement,logro
晚,Night,Noche
福,blessing,bendición
陽,Positive,Positivo
久,Long,Largo
劇,drama,drama
倒,fall,caer
斯,Sri Lanka,Sri Lanka
悲,sad,triste
況,condition,condición
照,According to,De acuerdo a
突,sudden,repentino
坐,sit,sentarse
追,Chase,Perseguir
息,interest,interés
善,good,bien
科,division,división
居,live,vivir
費,fee,tarifa
元,Yuan,Yuan
盡,exhaust,escape
庭,court,corte
叫,Call,Llamar
春,spring,primavera
拉,pull,jalar
筆,Pen,Bolígrafo
破,break,romper
級,class,clase
排,Row,Fila
案,case,caso
注,Note,Nota
亮,Bright,Brillante
樓,building,edificio
繼,follow,seguir
效,effect,efecto
習,habit,hábito
專,Specialize,Especializarse
維,dimension,dimensión
限,limit,límite
責,responsibility,responsabilidad
夠,enough,suficiente
官,official,oficial
富,rich,rico
準,allow,permitir
演,play,jugar
初,early,temprano
港,port,puerto
組,Group,Grupo
屬,genus,género
施,Shi,Shi
王,king,rey
執,Execute,Ejecutar
室,room,habitación
康,Healthy,Saludable
復,complex,complejo
留,Keep,Mantener
簡,simple,simple
陳,List,Lista
客,guest,invitado
班,class,clase
益,beneficial,beneficioso
街,street,calle
異,different,diferente
假,Fake,Falso
怕,Afraid,Asustado
查,check,controlar
媽,mom,mamá
協,Association,Asociación
野,wild,salvaje
靈,spirit,espíritu
投,cast,elenco
承,inherit,heredar
球,ball,pelota
職,position,posición
舊,old,viejo
跟,and,y
微,micro,micro
藝,art,arte
阿,A,A
司,manage,administrar
幸,fortunate,afortunado
爾,you,tú
份,share,compartir
楊,Yang,yang
石,stone,piedra
背,back,atrás
送,deliver,entregar
飛,fly,volar
麗,Korea,Corea
率,Rate,Tasa
緊,tight,ajustado
李,plum,ciruela
站,stand,pararse
吧,Bar,Bar
零,zero,cero
備,Prepare,Preparar
播,broadcast,transmisión
革,leather,cuero
句,sentence,oración
綠,green,verde
請,please,por favor
適,suitable,adecuado
支,branch,rama
講,speak,hablar
尤,especially,especialmente
抗,anti-,anti-
超,overtake,adelantar
啊,ah,ah
城,city,ciudad
預,pre,pre
供,for,para
奇,strange,extraño
獲,get,conseguir
負,burden,carga
浪,wave,ola
曲,song,canción
穿,wear,tener puesto
篇,Chapter,Capítulo
雲,cloud,nube
助,help,ayuda
派,group,grupo
省,Province,Provincia
階,level,nivel
隻,Only,Solo
團,group,grupo
害,Harmful,Dañino
算,Calculate,Calcular
克,gram,gramo
河,river,río
溫,temperature,temperatura
謂,predicate,predicado
討,discuss,conversar
驚,shock,choque
冷,cold,frío
良,good,bien
財,fiscal,fiscal
借,borrow,pedir prestado
尋,seek,buscar
急,urgent,urgente
答,answer,respuesta
評,comment,comentario
顧,Gu,Gu
龍,dragon,dragón
止,end,fin
配,match,fósforo
忘,forget,olvidar
愈,heal,sanar
味,taste,gusto
某,certain,cierto
衣,Clothes,Ropa
護,protect,proteger
停,stop,detener
判,judge,juez
休,stop,detener
呼,call,llamar
誰,who,OMS
均,all,todo
散,scattered,disperso
買,purchase,compra
館,pavilion,pabellón
困,Sleepy,Somnoliento
積,product,producto
臨,Pro,Pro
訴,sue,demandar
課,class,clase
檢,check,controlar
秋,Autumn,Otoño
退,retreat,retiro
固,solid,sólido
壓,press,prensa
歐,Europe,Europa
農,farmer,agricultor
布,cloth,paño
短,short,corto
村,village,aldea
版,version,versión
腳,foot,pie
雜,miscellaneous,misceláneas
婦,woman,mujer
營,camp,acampar
醒,Awake,Despierto
健,healthy,saludable
臉,Face,Rostro
銀,silver,plata
印,print,imprimir
唯,only,solo
宣,announce,anunciar
律,law,ley
換,Change,Cambiar
擔,bear,oso
緣,edge,borde
號,Number,Número
述,describe,describir
寧,rather,bastante
忽,suddenly,de repente
技,technology,tecnología
朝,towards,hacia
油,Oil,Aceite
皮,Skin,Piel
線,Wire,Cable
葉,leaf,hoja
守,keep,mantener
料,material,material
源,source,fuente
裝,Pack,Embalar
透,through,a través de
既,now that,ahora que
逐,chase,perseguir
養,keep,mantener
修,build,construir
烈,strong,fuerte
眠,sleep,dormir
睡,sleep,dormir
紙,Paper,Papel
貴,expensive,caro
靠,Depend on,Depender de
戲,play,jugar
拿,take,llevar
歸,return,devolver
狀,shape,forma
企,enterprise,empresa
列,List,Lista
忍,Tolerate,Tolerar
潮,tide,marea
私,private,privado
訊,News,Noticias
遇,encounter,encontrar
型,type,tipo
堅,firm,firme
沙,sand,arena
亂,chaos,caos
差,Difference,Diferencia
採,Pick,Elegir
腦,brain,cerebro
漫,comic,cómic
窗,window,ventana
菜,vegetable,verdura
掉,Lose,Perder
脂,fat,gordo
唱,Sing,Cantar
惡,evil,demonio
抱,hug,abrazo
漢,Chinese,Chino
雄,male,masculino
察,inspect,inspeccionar
擁,possess,poseer
童,child,niño
端,end,fin
里,inside,adentro
戀,love,amar
概,Overview,Descripción general
餘,Remain,Permanecer
肯,Ken,Conocido
速,speed,velocidad
酒,liquor,espíritu
慮,consider,considerar
互,mutual,mutual
威,power,fuerza
憶,recall,recordar
洲,continent,continente
禮,present,presente
訪,visit,visita
默,silent,silencioso
剛,Just,Justo
恐,fear,miedo
戶,household,familiar
模,mold,moho
激,exciting,emocionante
蛋,Egg,Huevo
迷,fan,admirador
露,dew,rocío
典,classic,clásico
疑,suspect,sospechar
遊,tour,recorrido
勞,labor,mano de obra
妳,you,tú
岸,shore,costa
忙,busy,ocupado
武,Wu,Wu
防,Defend,Defender
升,Lift,Elevar
患,suffer from,padecer
掌,Palm,Palmera
織,weave,tejer
趣,interest,interés
努,Nu,Nu
授,teach,enseñar
握,grip,agarre
江,River,Río
沈,sink,hundir
險,risk,riesgo
午,noon,mediodía
塊,piece,pedazo
遍,all over,por todas partes
錯,wrong,equivocado
煙,cigarette,cigarrillo
移,shift,cambio
範,Fan,Admirador
危,Danger,Peligro
症,disease,enfermedad
缺,lack,falta
避,avoid,evitar
陣,Array,Formación
着,With,Con
鐵,iron,hierro
鞋,shoe,zapato
額,Forehead,Frente
屋,Room,Habitación
左,Left,Izquierda
檳,Penang,Penang
脫,take off,despegar
舞,dance,bailar
途,way,forma
乃,So,Entonces
座,seat,asiento
純,pure,puro
補,repair,reparar
遺,legacy,legado
哥,elder brother,hermano mayor
店,shop,comercio
探,explore,explorar
榔,palm,palmera
玩,Play,Jugar
衝,rush,correr
章,chapter,capítulo
吸,suck,chupar
圍,surround,rodear
席,seat,asiento
羅,Luo,luo
予,give,dar
周,week,semana
暗,dark,oscuro
爸,dad,papá
票,ticket,boleto
賣,Sell,Vender
寂,lonely,solitario
波,Wave,Ola
狂,mad,enojado
禁,ban,prohibición
豪,Hao,hao
擇,select,seleccionar
田,field,campo
紛,riot,disturbio
莫,Mo,Mes
閒,idle,inactivo
頓,Dayton,Dayton
徵,levy,exacción
括,include,incluir
析,analyze,analizar
淚,tear,lágrima
略,slightly,levemente
觸,touch,tocar
減,reduce,reducir
肉,Meat,Carne
鐘,bell,campana
順,Shun,Rehuir
隱,hidden,oculto
亡,Death,Muerte
央,central,central
尊,respect,respeto
弟,younger brother,hermano menor
批,batch,lote
擊,hit,golpear
棄,abandoned,abandonado
淡,light,luz
湖,lake,lago
藉,borrow,pedir prestado
降,drop,gota
頁,Page,Página
副,vice,vicio
彩,color,color
揮,wave,ola
熟,Ripe,Maduro
束,bundle,manojo
療,treatment,tratamiento
練,practice,práctica
翻,turn,doblar
虎,Tiger,Tigre
享,Enjoy,Disfrutar
含,Contains,Contiene
延,extend,extender
慢,slow,lento
憂,worry,preocuparse
折,fold,doblar
製,system,sistema
頂,top,arriba
傾,pour,derramar
劃,row,fila
尚,still,aún
稅,Tax,Impuesto
蕭,Xiao,xiao
壞,bad,malo
志,ambition,ambición
怪,Strange,Extraño
普,general,general
洋,foreign,extranjero
誠,Sincerity,Sinceridad
謝,Thanks,Gracias
鮮,fresh,fresco
偶,even,incluso
優,excellent,excelente
彈,bomb,bomba
榮,glory,gloria
錄,record,registro
乾,Dry,Seco
冰,ice,hielo
詞,word,palabra
雪,Snow,Nieve
孤,solitary,solitario
您,you,tú
智,wisdom,sabiduría
索,So,Entonces
酸,acid,ácido
繁,Traditional,Tradicional
蘇,Su,Su
釋,release,liberar
針,Needle,Aguja
厚,thick,grueso
圓,round,redondo
惜,Cherish,Apreciar
救,save,ahorrar
沉,sink,hundir
祖,Ancestor,Antepasado
跳,Jump,Saltar
髮,hair,cabello
序,sequence,secuencia
毒,poison,veneno
浮,float,flotar
訓,training,capacitación
君,Jun,Jun
器,device,dispositivo
妻,wife,esposa
寬,Width,Ancho
架,shelf,estante
編,compile,compilar
偏,partial,parcial
楚,Chu,Chu
泥,mud,lodo
飯,meal,comida
柔,soft,suave
牽,lead,dirigir
畢,complete,completo
貿,trade,comercio
夏,summer,verano
廠,factory,fábrica
敢,dare,atrevimiento
皆,all,todo
哀,sorrow,pena
寒,cold,frío
欣,happy,feliz
置,set,colocar
銷,pin,alfiler
隊,Team,Equipo
刀,knife,cuchillo
掛,hang,colgar
殺,kill,matar
縣,county,condado
遭,suffered,sufrió
旁,beside,al lado de
船,Boat,Bote
鼓,drum,tambor
勝,win,ganar
卡,Card,Tarjeta
堆,heap,montón
弱,weak,débil
植,plant,planta
蘭,orchid,orquídea
右,right,bien
彼,Him,A él
癌,cancer,cáncer
登,board,junta
競,compete,competir
飄,float,flotar
堂,hall,sala
妹,sister,hermana
島,island,isla
床,bed,cama
染,dye,teñir
渡,cross,cruz
警,police,policía
貪,greedy,avaro
魚,fish,pez
劉,Liu,Liu
擴,expand,expandir
桌,table,mesa
溝,ditch,zanja
濃,concentrated,concentrado
虛,empty,vacío
巴,-bar,-bar
憲,constitution,constitución
欲,want,desear
毛,hair,cabello
牛,ox,buey
絲,Silk,Seda
複,complex,complejo
凡,Fan,Admirador
吉,lucky,afortunado
喝,drink,beber
域,domain,dominio
幫,help,ayuda
材,material,material
股,share,compartir
仰,admire,admirar
尼,Nigeria,Nigeria
招,trick,truco
麻,numb,adormecer
刺,prick,pinchazo
挑,pick,elegir
旅,trip,viaje
暴,violence,violencia
盛,prosperous,próspero
藏,Tibetan,tibetano
諸,various,varios
刊,journal,diario
套,set,colocar
媒,media,medios de comunicación
搖,shake,agitar
敗,defeat,fracaso
朵,Duo,Dúo
附,attached,adjunto
昨,yesterday,ayer
耳,Ear,Oreja
胸,chest,pecho
貨,goods,bienes
輝,Hui,hui
隔,separated,apartado
介,between,entre
吹,blow,explotar
抽,smoke,fumar
映,reflect,reflejar
秘,secret,secreto
納,accept,aceptar
豐,rich,rico
輪,wheel,rueda
帝,emperor,emperador
彷,imitation,imitación
愁,worry,preocuparse
泰,Thai,tailandés
衡,balance,balance
跑,run,correr
乏,lack,falta
奔,run,correr
幻,magical,mágico
怨,blame,culpa
懂,Understand,Entender
昏,faint,débil
牌,Card,Tarjeta
築,build,construir
荒,shortage,escasez
鬧,noisy,ruidoso
孔,hole,agujero
恨,hatred,odio
晨,morning,mañana
睛,eye,ojo
誤,error,error
趕,rush,correr
齊,together,juntos
垂,hang down,colgar
寶,precious,precioso
慣,used,usado
擺,put,poner
替,for,para
茶,Tea,Té
融,melt,derretir
賞,reward,premio
骨,bone,hueso
塵,dust,polvo
宜,should,debería
州,state,estado
廳,hall,sala
彿,Buddha,Buda
攤,stall,parar
涉,involve,involucrar
緒,thread,hilo
緩,slow,lento
縱,vertical,vertical
聚,gather,recolectar
鏡,mirror,espejo
鳥,bird,pájaro
姻,marriage,casamiento
揚,Yang,yang
測,test,prueba
牠,it,él
硬,hard,duro
縮,shrink,encoger
谷,valley,valle
趨,trend,tendencia
遷,move,mover
射,shoot,disparar
干,Dry,Seco
橋,bridge,puente
距,distance,distancia
轎,sedan chair,silla de manos
郭,Guo,guo
佔,occupy,ocupar
尺,ruler,gobernante
敬,respect,respeto
枝,branch,rama
混,mix,mezcla
灰,Ash,Ceniza
狗,dog,perro
竹,bamboo,bambú
罪,crime,delito
雞,chicken,pollo
餐,meal,comida
伸,stretch,estirar
嘴,Mouth,Boca
巧,skillful,hábil
彭,Peng,Peng
獻,offer,oferta
磨,grind,moler
籍,membership,afiliación
壯,strong,fuerte
控,control,control
杜,Du,Du
毫,millimeter,milímetro
牙,tooth,diente
載,load,carga
雷,thunder,trueno
顆,grain,grano
佛,Buddha,Buda
兵,soldiers,soldados
培,train,tren
審,trial,ensayo
旦,dawn,amanecer
淋,shower,ducha
蓋,build,construir
奮,work hard,atarearse
窮,poverty,pobreza
罷,stop,detener
賽,race,carrera
陷,trap,trampa
頗,quite,bastante
飲,drink,beber
俗,vulgar,vulgar
婆,Po,Correos
幅,frame,marco
暫,temporarily,temporalmente
曹,Cao,cao
杯,cup,taza
滋,Zi,zi
牆,wall,muro
監,supervise,supervisar
糖,sugar,azúcar
膽,courage,coraje
莊,village,aldea
陰,Negative,Negativo
倫,London,Londres
嘗,taste,gusto
宗,Zong,Zong
擾,disturb,molestar
敏,sensitive,sensible
款,payment,pago
鬥,fight,luchar
齡,age,edad
俄,Russian,ruso
抬,lift,elevar
柯,Ke,ke
殘,disabled,desactivado
涼,cold,frío
