Mandarin,English,Spanish
湧,gushing,efusivo
番,Fan,Admirador
符,symbol,símbolo
累,tired,cansado
藍,blue,azul
閃,flash,destello
雅,elegant,elegante
孫,sun,sol
板,plate,lámina
森,forest,bosque
碎,broken,roto
鬆,loose,perder
丈,ten feet,diez pies
京,Beijing,Pekín
喪,funeral,funeral
拜,bye,adiós
珍,Jane,jane
甘,sweet,dulce
跡,trace,rastro
返,return,devolver
促,promote,promover
哲,Zhe,Zhe
喊,call,llamar
巨,huge,enorme
拍,shoot,disparar
穩,stable,estable
貧,poor,pobre
付,pay,pagar
估,estimate,estimar
儘,exhaust,escape
凝,condense,condensar
啟,start,comenzar
妙,wonderful,maravilloso
旗,flag,bandera
昇,Lift,Elevar
礦,mine,mío
耶,yeah,sí
脅,threaten,amenazar
辛,pungent,acre
辭,Ci,Ci
兄,Brother,Hermano
哭,cry,llorar
屆,session,sesión
廢,waste,desperdiciar
暖,warm,cálido
橫,horizontal,horizontal
猶,still,aún
聖,holy,santo
菊,chrysanthemum,crisantemo
貌,appearance,apariencia
賴,rely,confiar
霧,fog,niebla
仔,young,joven
勇,brave,corajudo
寞,lonely,solitario
封,seal up,sellar
洗,wash,lavar
琴,piano,piano
諾,promise,promesa
辯,debate,debate
週,week,semana
麥,wheat,trigo
伴,companion,compañero
幕,screen,pantalla
敘,narrate,narrar
涵,Han,han
裂,crack,grieta
壁,wall,muro
弄,alley,callejón
慧,Wisdom,Sabiduría
焦,focus,enfocar
痕,mark,marca
薄,Thin,Delgado
裁,cut,cortar
迴,return,devolver
邱,Qiu,Qiu
障,barrier,barrera
坡,slope,pendiente
季,season,estación
淨,net,neto
疾,disease,enfermedad
皇,emperor,emperador
肅,solemn,solemne
描,trace,rastro
核,nuclear,nuclear
爬,climb,trepar
蓮,lotus,loto
訂,order,orden
仁,Benevolence,Benevolencia
坦,Tan,Broncearse
奈,nano,nanómetro
滴,drop,gota
災,disaster,desastre
瑞,Rui,rui
盤,plate,lámina
輸,lose,perder
逃,escape,escapar
遙,remote,remoto
魂,soul,alma
姿,posture,postura
徹,thorough,exhaustivo
搬,move,mover
爐,furnace,horno
盼,hope,esperanza
祝,wish,desear
稍,a little,un poco
胞,cells,células
踏,tread,pisada
迎,welcome,bienvenido
博,Bo,Bo
姓,surname,apellido
姊,sister,hermana
寄,send,enviar
幹,Dry,Seco
幽,quiet,tranquilo
末,end,fin
犯,commit,comprometerse
督,Governor,Gobernador
稿,draft,borrador
肩,shoulder,hombro
脈,pulse,legumbres
貢,tribute,homenaje
閱,read,leer
闊,wide,ancho
飾,Decorate,Decorar
塑,plastic,plástico
泛,pan-,cacerola-
溪,creek,arroyo
礎,foundation,base
米,rice,arroz
售,for sale,en venta
孕,pregnant,embarazada
川,Sichuan,Sichuan
幣,currency,divisa
怒,anger,enojo
肪,fat,gordo
裕,Yu,Yu
冬,winter,invierno
匆,hasty,apresurado
宇,Yu,Yu
忌,avoid,evitar
忠,Loyal,Leal
旋,spin,girar
洛,Luo,luo
煩,bother,molestar
粗,thick,grueso
芙,Fu,fu
豈,Qi,chi
躍,jump,saltar
顏,Yan,yan
勵,encourage,alentar
圈,lock up,encerrar
奏,play,jugar
悅,Joy,Alegría
慎,Be cautious,Ten cuidado
拒,refuse,rechazar
擦,wipe,limpiar
曉,dawn,amanecer
燒,burn,quemar
秀,show,espectáculo
伯,uncle,tío
佳,good,bien
哈,ha,Ja
戴,Wear,Tener puesto
按,according to,de acuerdo a
珠,beads,rosario
誌,ambition,ambición
豆,bean,frijol
邦,state,estado
頻,frequency,frecuencia
魯,Lu,Lu
咖,coffee,café
啡,coffee,café
埋,bury,enterrar
堪,worthy,valioso
措,measures,medidas
擠,squeeze,estrujar
槍,gun,pistola
洞,Hole,Agujero
滅,destroy,destruir
濫,indiscriminate,indistinto
碧,Bi,Bi
糊,paste,pasta
署,Department,Departamento
讚,praise,elogio
賢,virtuous,virtuoso
鬱,Depressed,Deprimido
鬼,ghost,fantasma
佈,cloth,paño
娘,mother,madre
崇,worship,culto
損,damage,daño
操,Hold,Sostener
殊,special,especial
疏,sparse,escaso
羽,feather,pluma
軟,soft,suave
逝,pass away,pasar
遲,Late,Tarde
呈,submit,entregar
獎,award,otorgar
巿,city,ciudad
拋,throw,tirar
振,vibrate,vibrar
璃,glass,vaso
盆,pot,olla
瞭,Got it,Entiendo
簽,sign,firmar
網,net,neto
茫,vast,vasto
違,Violate,Violar
閉,close,cerca
傘,umbrella,paraguas
兼,simultaneous,simultáneo
匯,exchange,intercambio
哪,where,dónde
奉,serve,atender
徑,path,camino
懼,fear,miedo
拐,turn around,Giro de vuelta
抵,arrive,llegar
滾,roll,rollo
煤,coal,carbón
爆,burst,explosión
臟,dirty,sucio
航,sail,navegar
袋,bag,bolsa
詳,detailed,detallado
輩,generation,generación
迫,force,fuerza
醉,drunk,ebrio
閣,pavilion,pabellón
震,shock,choque
龐,Pang,Angustia
刑,punishment,castigo
吳,Wu,Wu
塞,plug,enchufar
尾,tail,cola
屈,bend,doblar
撥,dial,marcar
擬,plan,plan
游,tour,recorrido
粉,pink,rosa
艱,difficult,difícil
覆,cover,cubrir
謀,seek,buscar
購,purchase,compra
邁,Mai,mayo
邀,invite,invitar
隆,Long,Largo
偉,great,excelente
偷,steal,robar
億,100 million,100 millones
夕,evening,noche
姐,sister,hermana
嬰,infant,niño
尿,Urine,Orina
幼,young,joven
徒,only,solo
恩,kindness,amabilidad
慾,want,desear
扮,pretend,pretender
淺,shallow,poco profundo
疲,tired,cansado
繞,around,alrededor
蕩,swing,balancearse
診,diagnosis,diagnóstico
貼,stick,palo
鹽,Salt,Sal
串,string,cadena
余,Remain,Permanecer
倍,times,veces
剩,leftover,sobrante
卷,roll,rollo
呀,ah,ah
峰,peak,cima
巷,lane,carril
循,follow,seguir
抑,suppress,reprimir
敵,enemy,enemigo
杖,stick,palo
松,loose,perder
汗,sweat,sudor
滑,slip,deslizar
濕,wet,húmedo
炸,fry,freír
爛,rotten,podrido
玻,glass,vaso
繫,Tie,Atar
蝶,butterfly,mariposa
貓,cat,gato
販,hawker,vendedor ambulante
逵,Kui,kui
鄰,adjacent,adyacente
醇,alcohol,alcohol
鎮,town,ciudad
陌,street,calle
陶,pottery,cerámica
妥,appropriate,adecuado
彎,bend,doblar
攻,attack,ataque
污,dirty,sucio
潤,Run,Correr
玉,Jade,Jade
碰,bump,bulto
躺,lie,mentir
陪,accompany,acompañar
丹,Dan,Dan
乘,take,llevar
仙,Fairy,Hada
喚,call,llamar
嘆,sigh,suspiro
壇,altar,altar
悟,enlightenment,ilustración
扎,tie,atar
托,Trust,Confianza
拔,pull,jalar
攝,photograph,fotografía
柴,firewood,leña
潔,clean,limpio
肺,lung,pulmón
腸,intestinal,intestinal
苗,Seedling,Planta de semillero
葛,Ge,Ge
蒼,Cang,Cang
輛,vehicle,vehículo
鎖,Lock,Cerrar
冒,risk,riesgo
宮,palace,palacio
悄,quiet,tranquilo
悔,regret,arrepentirse
搞,do,hacer
洩,vent,respiradero
甲,First,Primero
跨,across,al otro lado de
召,summon,convocar
憐,pity,lástima
插,Insert,Insertar
摸,touch,tocar
昔,past,pasado
沖,rush,correr
沿,along,a lo largo de
添,add,agregar
淇,Qi,chi
濤,Tao,tao
猛,fierce,feroz
甜,sweet,dulce
申,state,estado
瘦,thin,delgado
綿,cotton,algodón
耕,plow,arado
誕,birth,nacimiento
譬,analogy,analogía
乳,milk,leche
併,and,y
割,cut,cortar
勤,diligent,diligente
慘,miserable,miserable
掙,earn,ganar
液,liquid,líquido
燕,Yan,yan
粒,grain,grano
胡,Hu,hu
舒,Shu,Shu
袖,sleeve,manga
貶,derogatory,despectivo
貸,loan,préstamo
赴,go,ir
跌,fall,caer
蹤,trace,rastro
輯,edit,editar
辜,guilty,culpable
逢,meet,encontrarse
飽,full,lleno
餅,cake,pastel
魔,magic,magia
占,occupy,ocupar
廿,twenty,veinte
惑,confused,confundido
愚,stupid,estúpido
慶,celebrate,celebrar
戒,quit,abandonar
枯,dry,seco
瓦,watt,vatio
瓶,bottle,botella
翠,emerald,esmeralda
胖,fat,gordo
荷,Dutch,Holandés
譯,translate,traducir
鈴,bell,campana
阻,block,bloquear
鳴,Ming,Ming
仇,hatred,odio
坑,pit,fosa
尖,tip,consejo
挖,dig,excavar
拾,pickup,levantar
歎,sigh,suspiro
澤,Ze,ze
獸,beast,bestia
祇,Only,Solo
窄,narrow,angosto
耐,Resistant,Resistente
詢,Inquire,Preguntar
賓,Bin,Papelera
贈,gift,regalo
丁,Man,Hombre
契,deed,escritura
奶,Milk,Leche
宅,house,casa
宋,Song,Canción
峽,gorge,garganta
徐,Xu,Xu
捨,Abandon,Abandonar
斥,rebuke,reprensión
昆,Kun,Kun
梯,ladder,escalera
櫃,cabinet,gabinete
烏,black,negro
獄,prison,prisión
盟,alliance,alianza
稀,dilute,diluido
籠,cage,jaula
蓉,Rong,rong
衰,decline,rechazar
赤,red,rojo
逼,force,fuerza
馳,Chi,chi
啦,La,La
悠,You,Tú
憑,By,Por
掃,sweep,barrer
斜,incline,inclinación
朗,Long,Largo
歧,Discrepancy,Discrepancia
氏,clan,clan
漂,drift,deriva
潛,latent,latente
礙,hinder,dificultar
繪,painted,pintado
腐,Rotten,Podrido
菲,Philippines,Filipinas
謹,Sincerely,Atentamente
迅,fast,rápido
遞,hand over,Entregar
騰,Teng,teng
准,allow,permitir
匹,match,fósforo
吐,vomit,vomitar
嚼,chew,masticar
悉,Know,Saber
椅,chair,silla
棉,cotton,algodón
樸,Park,Parque
歉,apologize,disculparse
汽,steam,vapor
渴,thirsty,sediento
癡,crazy,loco
禍,disaster,desastre
穆,Mu,mu
纏,entangled,enredado
罵,scold,regañar
耀,dazzle,deslumbrar
腿,leg,pierna
芳,Fang,Colmillo
蒙,Mongolian,mongol
襲,attack,ataque
貫,through,a través de
銳,sharp,afilado
鋼,steel,acero
鍾,bell,campana
雕,carving,tallado
侵,invade,invadir
傑,Jay,Arrendajo
儀,instrument,instrumento
償,compensate,compensar
奧,profound,profundo
宿,accommodation,alojamiento
惠,benefit,beneficio
捕,catch,atrapar
撞,Collide,Chocar
株,strain,cepa
玲,Ling,Abadejo
疊,stack,pila
盾,shield,blindaje
磚,brick,ladrillo
肥,Fat,Gordo
胎,fetal,fetal
腹,belly,barriga
莎,Sha,Sha
蔬,vegetable,verdura
諧,Harmonious,Armonioso
鄧,Deng,deng
酬,reward,premio
騎,ride,conducir
慈,Kindness,Amabilidad
扭,twist,girar
援,aid,ayuda
摩,Mount,Montar
撐,support,apoyo
晶,crystal,cristal
柳,willow,sauce
洪,flood,inundación
涯,Ya,ya
燃,burn,quemar
盪,swing,balancearse
賦,endow,dotar
贏,win,ganar
麵,noodle,cabeza
伏,volt,voltio
冊,book,libro
妨,harm,dañar
宴,feast,banquete
憤,anger,enojo
拖,drag,arrastrar
晴,clear,claro
淑,Shu,Shu
灑,sprinkle,espolvorear
託,Trust,Confianza
賺,earn,ganar
辱,disgrace,desgracia
駐,stationed in,estacionado en
倡,advocate,defensor
傲,proud,orgulloso
唐,Tang,Espiga
夾,folder,carpeta
愉,pleasure,placer
扣,buckle,hebilla
抓,Grasp,Comprender
桃,Peach,Durazno
棒,Great,Excelente
汙,dirty,sucio
盞,cup,taza
眉,eyebrow,ceja
籲,appeal,apelar
糾,correct,correcto
綱,outline,describir
脆,crisp,crujiente
菸,cigarette,cigarrillo
董,Dong,Polla
蟲,insect,insecto
衷,Sincerely,Atentamente
遜,Xun,xun
采,Pick,Elegir
劍,sword,espada
叔,Uncle,Tío
吟,groan,gemido
呵,Oh,Oh
嚇,scare,susto
廟,temple,templo
憾,regret,arrepentirse
挺,quite,bastante
搭,take,llevar
殖,colonize,colonizar
漁,fish,pez
牲,sacrifice,sacrificio
狹,narrow,angosto
碌,busy,ocupado
貝,cowry,cauri
鋪,shop,comercio
鍵,key,llave
丟,leave,dejar
厭,Disgusted,Disgustado
孟,Meng,meng
慨,generous,generoso
披,Phi,Fi
挫,setback,revés
捲,roll,rollo
晃,shake,agitar
棵,tree,árbol
淪,perish,perecer
漠,desert,desierto
猜,Guess,Adivinar
盈,surplus,superávit
矛,spear,lanza
紹,Shao,shao
羊,sheep,oveja
翼,wing,ala
肚,Belly,Barriga
蔡,Tsai,Tsai
鼠,mouse,ratón
傭,commission,comisión
劑,agent,agente
叢,Cluster,Grupo
娛,entertainment,entretenimiento
寸,inch,pulgada
岩,rock,roca
嶺,ridge,cresta
帆,sail,navegar
廉,inexpensive,barato
悶,stuffy,cargado
懸,hanging,colgante
扇,fan,admirador
拓,extend,extender
掩,cover,cubrir
朱,Zhu,Zhu
氓,hooligan,gamberro
燦,Can,Poder
犧,sacrifice,sacrificio
籌,raise,aumentar
紋,pattern,patrón
罩,cover,cubrir
聰,Cong,cong
腔,cavity,cavidad
荻,Ogi,ogi
趙,Zhao,zhao
蹟,trace,rastro
躲,hide,esconder
輔,auxiliary,auxiliar
醜,ugly,feo
鑑,Appreciate,Agradecer
鳳,phoenix,fénix
仿,imitation,imitación
俠,Xia,Xia
俱,all,todo
儒,Confucianism,confucionismo
冠,crown,corona
刷,brush,cepillar
娃,baby,bebé
宏,Macro,Macro
恒,constant,constante
慕,Mu,mu
扯,pull,jalar
捐,donate,donar
掘,dig,excavar
撫,caress,caricia
梅,plum,ciruela
汪,Wang,Wang
泣,weep,llorar
泊,moor,páramo
炎,inflammation,inflamación
祕,secret,secreto
絡,network,red
聊,chat,charlar
胃,Stomach,Estómago
芽,bud,brote
賭,bet,apuesta
辨,distinguish,distinguir
郎,Lang,Lang
駛,drive,conducir
伊,Yi,yi
勁,strength,fortaleza
吞,swallow,tragar
墨,ink,tinta
宙,universe,universo
寺,temple,templo
庫,Library,Biblioteca
廈,Xia,Xia
弊,Disadvantages,Desventajas
恰,just,justo
恆,constant,constante
恕,Forgive,Perdonar
慰,comfort,comodidad
暮,twilight,crepúsculo
棟,building,edificio
漲,rise,elevar
牢,prison,prisión
祥,Xiang,Xiang
稻,rice,arroz
紐,New,Nuevo
績,Achievements,Logros
縫,seam,costura
臂,arm,brazo
舍,Abandon,Abandonar
蔭,shade,sombra
薪,salary,salario
踐,practice,práctica
券,coupon,cupón
卑,humble,humilde
婉,wan,pálido
敲,knock,golpear
斤,catty,malicioso
昂,hold head high,mantener la cabeza en alto
暢,smooth,liso
柏,cypress,ciprés
欄,column,columna
欺,bully,matón
毀,destroy,destruir
泡,Bubble,Burbuja
泉,spring,primavera
浸,dip,aderezo
溶,dissolve,disolver
溜,slip,deslizar
燭,candle,vela
狠,ruthless,implacable
矣,Yes,Sí
碼,code,código
纖,Fiber,Fibra
翎,feather,pluma
艷,Gorgeous,Espléndido
褲,pants,pantalones
遂,Then,Entonces
井,well,Bueno
俊,hansome,hansome
債,debt,deuda
儲,store,almacenar
勾,hook,gancho
圾,garbage,basura
垃,garbage,basura
弦,string,cadena
恢,restore,restaurar
惱,angry,enojado
捉,catch,atrapar
捧,hold,sostener
搶,Rob,Robar
暈,faint,débil
枚,pieces,piezas
泳,swimming,nadar
瀆,ditch,zanja
熬,boil,hervir
矮,short,corto
緻,To,A
肝,liver,hígado
蘆,reed,caña
覓,seek,buscar
郝,Hao,hao
鍊,chain,cadena
黎,Li,li
齒,tooth,diente
伍,Wu,Wu
俯,bend over,agacharse
凌,Ling,Abadejo
剪,Cut,Cortar
劣,inferior,inferior
嘛,Well,Bien
奪,seize,aprovechar
宰,slaughter,sacrificio
挽,pull,jalar
曼,Man,Hombre
梵,Brahma,Brahma
殷,Yin,Yin
氛,atmosphere,atmósfera
渾,muddy,enturbiar
澳,Australia,Australia
瑰,Rose,Rosa
瘋,crazy,loco
磅,pound,libra
腎,kidney,riñón
膀,bladder,vejiga
膜,membrane,membrana
芒,Mang,mang
蓄,save,ahorrar
虔,pious,piadoso
躁,impatient,impaciente
逆,inverse,inverso
遵,obey,cumplir
雀,bird,pájaro
顛,Dian,Dian
馨,Xin,Xin
騙,cheat,engañar
鼻,nose,nariz
傅,Fu,fu
催,urge,urgir
削,cut,cortar
剝,peel,cáscara
勉,Mian,mián
勃,Bo,Bo
勒,Le,le
厲,Li,li
孝,filial piety,piedad filial
懶,lazy,perezoso
扶,help,ayuda
攀,climb,trepar
敦,Dun,Pardo
柱,column,columna
梭,shuttle,lanzadera
澄,Clear,Claro
潑,splash,chapoteo
灌,Fill,Llenar
瓜,melon,melón
畏,fear,miedo
租,rent,alquilar
秩,rank,rango
羞,shame,lástima
翁,Weng,weng
脹,swell,hinchar
膚,skin,piel
蝴,butterfly,mariposa
裔,descendants,descendientes
謬,absurd,absurdo
郊,suburb,suburbio
錶,surface,superficie
霜,frost,helada
丸,pill,píldora
倦,tired,cansado
勸,advise,aconsejar
吾,I,I
吻,kiss,beso
喃,murmur,murmullo
嫁,marry,casarse
嫩,tender,licitación
屏,screen,pantalla
抒,express,expresar
桂,Gui,gui
湯,Soup,Sopa
漆,paint,pintar
盲,blind,ciego
碗,bowl,bol
祂,Him,A él
稚,childish,infantil
紫,purple,púrpura
綜,Comprehensive,Integral
腰,waist,cintura
舟,Boat,Bote
芬,Finn,finlandés
蒂,pedicle,pedículo
誓,oath,juramento
誼,friendship,amistad
諒,Forgive,Perdonar
譽,reputation,reputación
軌,rail,carril
遮,cover,cubrir
銘,inscription,inscripción
駕,drive,conducir
側,side,lado
呆,stay,permanecer
喧,noise,ruido
噴,spray,pulverización
姑,aunt,tía
崩,collapse,colapsar
幢,building,edificio
悵,despair,desesperación
截,cut,cortar
扁,flat,departamento
抹,wipe,limpiar
撲,flutter,aleteo
撒,spread,desparramar
桑,mulberry,mora
檔,files,archivos
沾,dip,aderezo
溢,overflow,rebosar
漏,leak,filtración
煥,Huan,Huan
睜,open eyes,ojos abiertos
碑,monument,monumento
筋,Tendon,Tendón
臥,lie down,acostarse
蛇,snake,serpiente
蜜,honey,Miel
謙,modest,modesto
鄭,Zheng,Zheng
鑽,Drill,Perforar
驕,arrogant,arrogante
鶴,crane,grúa
鹿,deer,ciervo
黯,dark,oscuro
亭,pavilion,pabellón
叮,bite,morder
咬,bite,morder
喻,metaphor,metáfora
嗔,angry,enojado
嚮,Towards,Hacia
塔,tower,torre
姆,Tom,Tomás
嫌,Dislike,Aversión
寓,apartment,departamento
帽,cap,tapa
戚,Qi,chi
扛,carry,llevar
柵,gate,puerta
瑪,Ma,Mamá
甫,just,justo
盧,Lu,Lu
碩,large,grande
箱,box,caja
虐,abuse,abuso
賄,bribe,soborno
逸,Yi,yi
鍋,pot,olla
云,cloud,nube
伙,partner,pareja
偽,fake,falso
傻,stupid,estúpido
吊,hang,colgar
堡,fort,fuerte
填,fill,llenar
媳,daughter-in-law,nuera
宛,to,a
愧,ashamed,avergonzado
懇,Sincerely,Atentamente
拆,dismantle,desmantelar
撤,withdraw,retirar
摯,sincere,sincero
暑,heat,calor
欠,owe,deber
毅,Yi,yi
津,Tianjin,Tianjín
潰,collapse,colapsar
煮,cook,cocinar
畔,beside,al lado de
眸,eye,ojo
祈,pray,orar
秤,scales,balanza
糟,Bad,Malo
締,conclude,concluir
罰,punish,castigar
膨,swell,hinchar
菌,bacteria,bacterias
衍,Yan,yan
訝,be surprised,quedar asombrado
諷,sarcasm,sarcasmo
迪,Dee,Dee
酷,cool,Frío
銅,copper,cobre
鋒,front,frente
陋,ugly,feo
髒,dirty,sucio
侶,companion,compañero
儉,frugal,frugal
咳,cough,tos
喉,throat,garganta
嘯,Howl,Aullido
岡,Oka,Oká
崗,post,correo
怖,terror,terror
揭,uncover,descubrir
擱,put,poner
攜,carry,llevar
晰,clear,claro
朽,rotten,podrido
沛,Pei,Pei
浩,Hao,hao
滄,Cang,Cang
澈,clear,claro
玫,rose,rosa
瑣,petty,insignificante
痴,crazy,loco
癮,addiction,adicción
皺,wrinkle,arruga
秒,Second,Segundo
窩,nest,nido
粹,pure,puro
紮,tie,atar
縷,thread,hilo
罹,suffer,sufrir
聳,towering,imponente
莽,reckless,imprudente
裸,bare,desnudo
誇,boast,alarde
謎,puzzle,rompecabezas
辰,Chen,Chen
迄,until,hasta
邏,logic,lógica
郵,mail,correo
釀,wine,vino
闆,plate,lámina
闢,Pirate,Pirata
雇,hire,contratar
顫,trembling,temblor
伐,Cut down,Reducir
凍,freeze,congelar
凱,Kai,Kai
凸,convex,convexo
剎,brake,freno
吵,Quarrel,Disputa
圃,garden,jardín
堤,embankment,terraplén
塗,Paint,Pintar
壽,life,vida
嬌,delicate,delicado
庸,mediocre,mediocre
廊,gallery,galería
廚,kitchen,cocina
恍,indistinct,indistinto
抉,choose,elegir
拳,fist,puño
旨,purpose,objetivo
枕,pillow,almohada
榜,list,lista
浴,bath,baño
淒,sad,triste
滔,Torrential,Torrencial
疫,epidemic,epidemia
疼,pain,dolor
碟,dish,plato
綻,bloom,floración
肌,muscle,músculo
臭,Smelly,Maloliente
舌,tongue,lengua
芭,Ba,Licenciado en Letras
葡,Portuguese,portugués
薯,Yam,batata
虧,deficit,déficit
螢,firefly,luciérnaga
註,Note,Nota
赫,He,Él
轟,boom,auge
迢,far away,lejos
鉅,huge,enorme
鞭,whip,látigo
颱,tower,torre
騷,coquettish,jugado
乖,good,bien
倚,lean on,apoyarse en
哨,post,correo
嘩,Wow,Guau
嚐,taste,gusto
囊,bag,bolsa
墜,fall,caer
壤,soil,suelo
巾,towel,toalla
帳,account,cuenta
彌,Mi,Mi
怯,cowardly,cobardemente
惟,but,pero
斗,fight,luchar
曠,vast,vasto
樁,pile,montón
歇,rest,descansar
池,pool,piscina
洶,tumultuous,tumultuoso
淹,flood,inundación
淫,kinky,rizado
潭,pool,piscina
濛,Mongolian,mongol
澀,astringent,astringente
灘,beach,playa
烤,bake,hornear
焚,burn,quemar
牧,animal husbandry,ganadería
矯,correct,correcto
稽,Ji,Ji
糙,rough,bruto
繳,pay,pagar
罐,Can,Poder
翅,wing,ala
翩,Pian,piano
萎,wilt,marchitar
蔽,shield,blindaje
薩,sa,sa
蠢,stupid,estúpido
裙,skirt,falda
譜,Spectrum,Espectro
贊,praise,elogio
輾,rolling,laminación
輿,public opinion,opinión pública
閩,Fujian,fujián
閥,valve,válvula
驅,drive,conducir
鵝,Goose,Ganso
鼎,tripod,trípode
僵,stiff,rígido
劫,tribulation,tribulación
卜,predict,predecir
叛,rebel,rebelde
唸,read,leer
喬,Joe,José
墓,tomb,tumba
墮,fall,caer
墾,cultivate,cultivar
寡,widowed,viudo
恥,shame,lástima
拚,spell,deletrear
擲,Throw,Tirar
斬,cut,cortar
栽,plant,planta
楞,Leng,longitud
殿,temple,templo
渺,vague,impreciso
漪,ripples,ondulaciones
漿,Pulp,Pulpa
炒,saute,saltear
瑋,Wei,Wei
疇,domain,dominio
瘤,tumor,tumor
瞧,Look,Mirar
肆,Four,cuatro
膝,knee,rodilla
艾,Ai,Ai
莉,Li,li
萄,grapes,uvas
蕾,bud,brote
襟,lapel,solapa
詮,interpret,interpretar
賀,Congratulations,Felicidades
蹲,squat,agacharse
郁,Depressed,Deprimido
頌,Ode,Oda
馮,Feng,feng
驟,step,paso
亟,urgently,urgentemente
仗,battle,batalla
倆,both,ambos
允,allow,permitir
凋,withered,marchito
吼,roar,rugido
喘,asthma,asma
囂,clamor,clamor
址,site,sitio
姨,Aunt,Tía
媚,charming,encantador
媜,媜,媜
履,shoe,zapato
役,service,servicio
徊,irresolute,irresoluto
憬,awaken,despertar
抖,shake,agitar
捷,Czech,checo
摘,pick,elegir
撰,Written,Escrito
攪,stir,remover
昭,Zhao,zhao
曬,sun,sol
汁,juice,jugo
熙,Xi,Xi
爺,Lord,Caballero
眷,concern,inquietud
砍,cut,cortar
筒,cylinder,cilindro
耗,consume,consumir
肖,resemble,parecerse
脖,neck,cuello
臣,minister,ministro
藩,vassal,vasallo
蝕,eclipse,eclipse
覽,View,Vista
誘,lure,señuelo
踩,step on,pisar
銜,title,título
錦,brocade,brocado
隙,gap,brecha
魁,Kui,kui
乍,first,primero
佇,stand still,estarse quieto
佩,wear,tener puesto
函,letter,carta
哦,oh,Vaya
啞,dumb,mudo
啼,cry,llorar
嗜,hobby,pasatiempo
嘻,laugh,reír
噪,noise,ruido
坎,bumpy,abultado
埃,angstrom,angstrom
塌,collapse,colapsar
壘,base,base
夷,Yi,yi
奢,extravagant,extravagante
妄,Delusion,Engaño
尹,Yin,Yin
屠,slaughter,sacrificio
帕,Pa,Pensilvania
廂,cabin,cabina
彰,Akira,akira
徘,irresolute,irresoluto
慌,panic,pánico
擋,block,bloquear
攘,throw into confusion,arrojarse a la confusión
斑,spot,lugar
曦,Xi,Xi
櫥,cabinet,gabinete
淵,deep,profundo
溺,drown,ahogar
濁,turbidity,turbiedad
煞,Evil,Demonio
爽,Cool,Fresco
狼,Wolf,Lobo
瞎,blind,ciego
祭,sacrifice,sacrificio
禽,birds,pájaros
禿,bald,calvo
秉,Bing,Bing
稼,crop,cultivo
笨,fool,tonto
箋,note,nota
繡,embroider,bordar
翔,soar,remontarse
聆,hear,escuchar
膠,glue,pegamento
茁,thrive,prosperar
茲,hereby,por la presente
萌,Cute,Lindo
蓬,Peng,Peng
虹,rainbow,arcoíris
衫,shirt,camisa
襄,Xiang,Xiang
諱,taboo,tabú
跋,postscript,posdata
輒,noisy,ruidoso
逛,visit,visita
遣,send,enviar
邪,evil,demonio
醞,brew,elaborar cerveza
醬,Sauce,Salsa
霍,Huo,Huo
霸,tyrant,tirano
靖,Jing,jing
頑,stubborn,tenaz
頒,award,otorgar
頹,decadent,decadente
魅,Charming,Encantador
鵑,cuckoo,cuco
僻,secluded,aislado
卓,Zhuo,Zhuo
哺,feed,alimentar
唇,lip,labio
夥,partner,pareja
峻,Jun,Jun
惹,provoke,provocar
